id,slug,hub,desk,seniority,shifts,skills,toolset,availability
p_ep1_sp1_emp1,,Production,Design,Assistant Producer,Evening,"Developer,Reporter - Digital,Graphic Designer  TV,Reporter - TV,Reporter - Print,Copy Editor,Graphic Designer - Print,Anchor","CSS,JavaScript,Photoshop,InDesign,Illustrator",Hired
p_ep1_sp1_emp2,,Production,Design,Assistant Producer,Evening,"Graphic Designer - Print,Journalist,Reporter - TV,Developer,Anchor,Graphic Designer  TV,Reporter - Print,Graphic Designer - Digital,Copy Editor,Reporter - Digital","CSS,HTML,Photoshop",Hired
p_ep1_sp1,,Production,Design,Chief Producer,Morning,"Reporter - Print,Copy Editor,Graphic Designer  TV,Reporter - Digital,Journalist,Developer,Anchor,Reporter - TV,Graphic Designer - Print","CSS,InDesign,Illustrator",Hired
p_ep1_sp2_emp1,,Production,Design,Trainee Producer,Graveyard,"Journalist,Anchor,Developer,Graphic Designer - Print,Reporter - Print,Graphic Designer  TV","Photoshop,InDesign,CSS,JavaScript,HTML,Illustrator",Hired
p_ep1_sp2_emp2,,Production,Design,Trainee Producer,Evening,"Graphic Designer  TV,Anchor,Reporter - Print,Journalist,Reporter - TV,Developer,Copy Editor,Graphic Designer - Print,Graphic Designer - Digital","InDesign,Illustrator,HTML,Photoshop,JavaScript,CSS",Hired
p_ep1_sp2,,Production,Design,Chief Producer,Graveyard,"Reporter - Print,Graphic Designer - Print,Graphic Designer  TV,Anchor,Developer,Journalist,Reporter - Digital,Reporter - TV,Copy Editor,Graphic Designer - Digital",Photoshop,Hired
p_ep1_sp3_emp1,,Production,Design,Producer,Graveyard,"Developer,Reporter - TV,Copy Editor,Journalist,Reporter - Digital,Anchor,Graphic Designer - Print,Reporter - Print,Graphic Designer - Digital,Graphic Designer  TV","InDesign,Photoshop,HTML,Illustrator,JavaScript",Hired
p_ep1_sp3_emp2,,Production,Design,Producer,Graveyard,"Reporter - Print,Anchor,Reporter - TV,Graphic Designer - Print",Photoshop,Hired
p_ep1_sp3,,Production,Design,Senior Producer,Morning,"Graphic Designer  TV,Graphic Designer - Print,Anchor,Reporter - Print,Journalist","Photoshop,Illustrator,HTML,CSS,JavaScript,InDesign",Hired
p_ep1,,Production,Design,Executive Producer,Evening,"Graphic Designer - Digital,Journalist,Reporter - TV",JavaScript,Hired
p_ep2_sp1_emp1,,Production,Interactives,Associate Producer,Morning,"Graphic Designer  TV,Reporter - Digital","CSS,InDesign,JavaScript",Hired
p_ep2_sp1_emp2,,Production,Interactives,Assistant Producer,Morning,"Reporter - Digital,Anchor,Graphic Designer - Digital,Graphic Designer - Print,Reporter - TV,Developer",Illustrator,Hired
p_ep2_sp1,,Production,Interactives,Chief Producer,Evening,"Reporter - Print,Anchor","HTML,CSS,InDesign,JavaScript,Photoshop,Illustrator",Hired
p_ep2_sp2_emp1,,Production,Interactives,Assistant Producer,Evening,"Copy Editor,Graphic Designer  TV,Graphic Designer - Print,Reporter - TV,Developer,Reporter - Digital",CSS,Hired
p_ep2_sp2_emp2,,Production,Interactives,Producer,Morning,"Reporter - Digital,Journalist,Graphic Designer  TV",JavaScript,Hired
p_ep2_sp2,,Production,Interactives,Senior Producer,Graveyard,"Reporter - Digital,Graphic Designer - Print,Graphic Designer  TV,Graphic Designer - Digital,Reporter - Print,Journalist,Developer,Anchor","JavaScript,Illustrator,HTML,Photoshop",Hired
p_ep2_sp3_emp1,,Production,Interactives,Trainee Producer,Evening,"Graphic Designer  TV,Graphic Designer - Print,Reporter - Digital,Reporter - TV,Journalist","HTML,Photoshop,CSS,Illustrator",Hired
p_ep2_sp3_emp2,,Production,Interactives,Assistant Producer,Graveyard,"Journalist,Graphic Designer - Print,Reporter - TV","InDesign,Illustrator",Hired
p_ep2_sp3,,Production,Interactives,Senior Producer,Morning,"Copy Editor,Anchor,Reporter - Digital,Graphic Designer - Digital,Journalist,Graphic Designer  TV,Reporter - Print,Reporter - TV,Graphic Designer - Print,Developer","Photoshop,CSS,JavaScript,Illustrator,HTML,InDesign",Hired
p_ep2,,Production,Interactives,Executive Producer,Morning,"Copy Editor,Graphic Designer - Digital,Journalist,Reporter - Print,Reporter - Digital,Anchor,Developer,Reporter - TV,Graphic Designer  TV,Graphic Designer - Print","Illustrator,HTML,JavaScript,Photoshop,CSS,InDesign",Hired
p_ep3_sp1_emp1,,Production,Studio,Trainee Producer,Morning,"Graphic Designer - Print,Developer,Graphic Designer - Digital,Copy Editor,Reporter - TV,Reporter - Digital,Journalist,Reporter - Print,Anchor",Illustrator,Hired
p_ep3_sp1_emp2,,Production,Studio,Assistant Producer,Graveyard,"Developer,Reporter - Print,Graphic Designer - Print,Reporter - TV,Reporter - Digital,Graphic Designer - Digital,Graphic Designer  TV,Copy Editor,Anchor,Journalist","JavaScript,Photoshop,Illustrator",Hired
p_ep3_sp1,,Production,Studio,Senior Producer,Evening,"Graphic Designer  TV,Graphic Designer - Print,Reporter - TV","Photoshop,Illustrator",Hired
p_ep3_sp2_emp1,,Production,Studio,Producer,Evening,"Anchor,Reporter - Digital,Graphic Designer - Digital,Reporter - TV,Copy Editor,Reporter - Print,Graphic Designer - Print,Journalist,Developer,Graphic Designer  TV","InDesign,Photoshop",Hired
p_ep3_sp2_emp2,,Production,Studio,Assistant Producer,Graveyard,"Anchor,Reporter - Print,Reporter - TV,Graphic Designer - Print,Copy Editor,Reporter - Digital","Photoshop,InDesign,Illustrator,HTML,CSS,JavaScript",Hired
p_ep3_sp2,,Production,Studio,Senior Producer,Evening,"Reporter - Digital,Copy Editor,Developer,Graphic Designer - Print,Anchor,Graphic Designer - Digital,Reporter - Print,Reporter - TV","Illustrator,JavaScript",Hired
p_ep3_sp3_emp1,,Production,Studio,Producer,Graveyard,"Anchor,Graphic Designer - Digital,Graphic Designer - Print,Copy Editor","Illustrator,CSS,Photoshop,InDesign",Hired
p_ep3_sp3_emp2,,Production,Studio,Trainee Producer,Morning,"Graphic Designer - Print,Copy Editor,Journalist,Reporter - Digital,Developer,Graphic Designer - Digital,Anchor,Reporter - TV,Reporter - Print",Illustrator,Hired
p_ep3_sp3,,Production,Studio,Senior Producer,Morning,"Journalist,Reporter - Digital,Anchor,Developer,Reporter - Print,Reporter - TV,Graphic Designer  TV,Graphic Designer - Digital",CSS,Hired
p_ep3,,Production,Studio,Executive Producer,Morning,"Anchor,Graphic Designer - Digital,Reporter - Digital,Developer,Copy Editor,Graphic Designer - Print,Reporter - TV,Graphic Designer  TV","HTML,CSS,Illustrator,Photoshop,InDesign",Hired
p_ep4_sp1_emp1,,Production,Multimedia,Producer,Morning,"Anchor,Journalist,Reporter - Print,Reporter - Digital,Graphic Designer - Digital,Reporter - TV,Graphic Designer  TV,Graphic Designer - Print","JavaScript,Photoshop,InDesign,Illustrator",Hired
p_ep4_sp1_emp2,,Production,Multimedia,Producer,Morning,"Reporter - TV,Graphic Designer - Digital,Reporter - Print,Copy Editor","InDesign,Photoshop,Illustrator",Hired
p_ep4_sp1,,Production,Multimedia,Chief Producer,Evening,Journalist,"Photoshop,CSS,InDesign,HTML",Hired
p_ep4_sp2_emp1,,Production,Multimedia,Producer,Evening,"Graphic Designer - Print,Reporter - TV,Copy Editor,Graphic Designer  TV,Developer","Photoshop,Illustrator,CSS",Hired
p_ep4_sp2_emp2,,Production,Multimedia,Associate Producer,Graveyard,"Graphic Designer - Digital,Anchor,Developer,Journalist,Graphic Designer  TV,Reporter - TV,Copy Editor",Photoshop,Hired
p_ep4_sp2,,Production,Multimedia,Chief Producer,Morning,"Developer,Reporter - Print,Graphic Designer  TV,Anchor","Photoshop,JavaScript",Hired
p_ep4_sp3_emp1,,Production,Multimedia,Producer,Graveyard,"Reporter - Print,Reporter - TV,Journalist,Graphic Designer - Print,Graphic Designer  TV,Graphic Designer - Digital,Reporter - Digital","CSS,JavaScript",Hired
p_ep4_sp3_emp2,,Production,Multimedia,Assistant Producer,Evening,"Copy Editor,Graphic Designer  TV,Graphic Designer - Print,Reporter - Print,Reporter - TV,Journalist,Developer,Reporter - Digital,Anchor,Graphic Designer - Digital","Photoshop,HTML,Illustrator,CSS",Hired
p_ep4_sp3,,Production,Multimedia,Chief Producer,Morning,"Graphic Designer - Digital,Copy Editor,Graphic Designer  TV,Anchor,Reporter - Digital,Journalist,Developer,Reporter - Print,Graphic Designer - Print","HTML,CSS",Hired
p_ep4,,Production,Multimedia,Executive Producer,Graveyard,"Reporter - Print,Anchor,Copy Editor","CSS,JavaScript,Illustrator,HTML",Hired
p_ep5_sp1_emp1,,Production,Home Bureau,Trainee Producer,Morning,"Graphic Designer - Digital,Anchor","CSS,InDesign",Hired
p_ep5_sp1_emp2,,Production,Home Bureau,Trainee Producer,Graveyard,"Graphic Designer - Print,Developer,Reporter - TV,Copy Editor,Anchor,Reporter - Digital","InDesign,Illustrator",Hired
p_ep5_sp1,,Production,Home Bureau,Senior Producer,Evening,"Developer,Graphic Designer - Print","Illustrator,CSS,Photoshop,JavaScript,InDesign",Hired
p_ep5_sp2_emp1,,Production,Home Bureau,Producer,Graveyard,Copy Editor,"CSS,Photoshop,JavaScript",Hired
p_ep5_sp2_emp2,,Production,Home Bureau,Assistant Producer,Morning,"Reporter - TV,Graphic Designer  TV,Reporter - Print,Graphic Designer - Print,Copy Editor,Anchor,Reporter - Digital",JavaScript,Hired
p_ep5_sp2,,Production,Home Bureau,Chief Producer,Morning,"Graphic Designer - Print,Reporter - Digital,Developer,Anchor","Illustrator,HTML,JavaScript,InDesign,Photoshop,CSS",Hired
p_ep5_sp3_emp1,,Production,Home Bureau,Trainee Producer,Morning,"Reporter - Print,Graphic Designer  TV,Reporter - Digital,Reporter - TV,Copy Editor",InDesign,Hired
p_ep5_sp3_emp2,,Production,Home Bureau,Producer,Morning,"Journalist,Graphic Designer - Digital,Reporter - Digital,Anchor","CSS,Illustrator,HTML,JavaScript,Photoshop,InDesign",Hired
p_ep5_sp3,,Production,Home Bureau,Chief Producer,Evening,Journalist,"HTML,Photoshop,Illustrator",Hired
p_ep5,,Production,Home Bureau,Executive Producer,Morning,"Journalist,Graphic Designer  TV,Reporter - Digital","HTML,JavaScript,Illustrator",Hired
p_ep6_sp1_emp1,,Production,Copy,Producer,Morning,"Graphic Designer - Print,Reporter - TV,Graphic Designer - Digital","JavaScript,InDesign,Illustrator",Hired
p_ep6_sp1_emp2,,Production,Copy,Assistant Producer,Morning,"Graphic Designer - Digital,Reporter - Print,Copy Editor,Reporter - Digital,Developer,Journalist,Reporter - TV,Graphic Designer  TV","Illustrator,HTML,CSS,InDesign",Hired
p_ep6_sp1,,Production,Copy,Chief Producer,Evening,"Developer,Anchor,Reporter - Print,Copy Editor,Journalist,Reporter - TV,Graphic Designer - Digital,Graphic Designer  TV",Photoshop,Hired
p_ep6_sp2_emp1,,Production,Copy,Assistant Producer,Evening,"Graphic Designer - Digital,Anchor","Illustrator,HTML,CSS",Hired
p_ep6_sp2_emp2,,Production,Copy,Associate Producer,Morning,Reporter - Print,"Photoshop,JavaScript,CSS,Illustrator",Hired
p_ep6_sp2,,Production,Copy,Chief Producer,Graveyard,"Reporter - Print,Developer","Illustrator,CSS",Hired
p_ep6_sp3_emp1,,Production,Copy,Associate Producer,Evening,"Reporter - TV,Reporter - Print","HTML,InDesign,JavaScript,Photoshop,CSS,Illustrator",Hired
p_ep6_sp3_emp2,,Production,Copy,Assistant Producer,Morning,"Developer,Reporter - Digital,Anchor","Illustrator,Photoshop,HTML,CSS,InDesign",Hired
p_ep6_sp3,,Production,Copy,Senior Producer,Morning,"Graphic Designer - Print,Copy Editor,Graphic Designer - Digital,Reporter - Digital,Developer,Anchor,Reporter - TV,Journalist,Graphic Designer  TV,Reporter - Print","JavaScript,HTML,CSS,Illustrator",Hired
p_ep6,,Production,Copy,Executive Producer,Evening,Developer,"JavaScript,InDesign,Photoshop,Illustrator",Hired
p_mp,,Production,,Managing Producer,Evening,"Journalist,Graphic Designer - Digital",JavaScript,Hiring
a_ep1_sp1_emp1,,Assembling,Shows,Producer,Morning,"Journalist,Graphic Designer - Print,Reporter - TV,Developer,Graphic Designer  TV,Copy Editor,Graphic Designer - Digital","JavaScript,HTML,CSS",Hired
a_ep1_sp1_emp2,,Assembling,Shows,Associate Producer,Graveyard,"Copy Editor,Graphic Designer - Print,Anchor,Graphic Designer - Digital,Reporter - Digital",Photoshop,Hired
a_ep1_sp1,,Assembling,Shows,Chief Producer,Morning,"Reporter - TV,Journalist,Reporter - Print,Graphic Designer - Digital,Graphic Designer  TV,Anchor,Graphic Designer - Print,Developer,Reporter - Digital","InDesign,HTML,CSS,JavaScript",Hired
a_ep1_sp2_emp1,,Assembling,Shows,Trainee Producer,Graveyard,"Graphic Designer - Print,Reporter - Digital,Reporter - Print,Journalist,Copy Editor,Developer,Anchor","Illustrator,CSS,InDesign,JavaScript,Photoshop,HTML",Hired
a_ep1_sp2_emp2,,Assembling,Shows,Associate Producer,Morning,"Graphic Designer  TV,Graphic Designer - Digital,Reporter - Print","JavaScript,Illustrator,HTML,Photoshop,CSS,InDesign",Hired
a_ep1_sp2,,Assembling,Shows,Chief Producer,Evening,"Copy Editor,Graphic Designer - Print","CSS,HTML,JavaScript,Illustrator,Photoshop",Hired
a_ep1_sp3_emp1,,Assembling,Shows,Assistant Producer,Morning,"Graphic Designer  TV,Journalist,Anchor,Copy Editor,Graphic Designer - Print,Reporter - TV",JavaScript,Hired
a_ep1_sp3_emp2,,Assembling,Shows,Assistant Producer,Evening,"Anchor,Reporter - Digital,Graphic Designer  TV,Reporter - Print,Copy Editor,Journalist,Graphic Designer - Digital","Illustrator,CSS,JavaScript",Hired
a_ep1_sp3,,Assembling,Shows,Chief Producer,Evening,"Graphic Designer  TV,Copy Editor,Developer","Photoshop,JavaScript,HTML,InDesign",Hired
a_ep1,,Assembling,Shows,Executive Producer,Morning,"Copy Editor,Reporter - Digital,Graphic Designer - Digital,Graphic Designer - Print,Anchor","Photoshop,JavaScript",Hired
a_ep2_sp1_emp1,,Assembling,ePrint,Associate Producer,Graveyard,Developer,"Illustrator,CSS,InDesign,HTML,Photoshop",Hired
a_ep2_sp1_emp2,,Assembling,ePrint,Trainee Producer,Evening,"Developer,Graphic Designer - Print,Anchor,Reporter - Digital,Reporter - Print,Graphic Designer  TV","Illustrator,InDesign",Hired
a_ep2_sp1,,Assembling,ePrint,Chief Producer,Morning,"Developer,Reporter - Digital,Anchor","Photoshop,HTML,InDesign",Hired
a_ep2_sp2_emp1,,Assembling,ePrint,Assistant Producer,Morning,"Graphic Designer  TV,Anchor,Journalist,Reporter - Print,Developer,Copy Editor,Graphic Designer - Print",Illustrator,Hired
a_ep2_sp2_emp2,,Assembling,ePrint,Associate Producer,Graveyard,"Journalist,Reporter - Print,Anchor,Copy Editor","Illustrator,HTML",Hired
a_ep2_sp2,,Assembling,ePrint,Chief Producer,Evening,"Graphic Designer - Print,Anchor,Reporter - Print,Reporter - Digital,Reporter - TV,Developer,Copy Editor","HTML,JavaScript",Hired
a_ep2_sp3_emp1,,Assembling,ePrint,Associate Producer,Morning,"Graphic Designer  TV,Reporter - Digital,Reporter - TV,Developer,Graphic Designer - Digital,Copy Editor,Anchor,Journalist,Reporter - Print,Graphic Designer - Print","InDesign,HTML,CSS,JavaScript",Hired
a_ep2_sp3_emp2,,Assembling,ePrint,Producer,Morning,"Reporter - Digital,Graphic Designer - Print,Developer,Graphic Designer  TV,Anchor,Graphic Designer - Digital","InDesign,HTML",Hired
a_ep2_sp3,,Assembling,ePrint,Senior Producer,Graveyard,"Reporter - Print,Anchor,Journalist,Graphic Designer - Digital","Photoshop,HTML,CSS,InDesign",Hired
a_ep2,,Assembling,ePrint,Executive Producer,Graveyard,"Reporter - Print,Graphic Designer - Print,Journalist","JavaScript,InDesign,Illustrator",Hired
